Source,Recipient Congressional District,Recipient Name,Award ID,Latest Modification Number,First Action Type,First Action Type Description,First Action Date,Latest Action Type,Latest Action Type Description,Latest Action Date,Action Code Termination Modification,Action Code Termination Date,Closeout Modification Number,Closeout Action Date,Start Date,Current End Date,End Date Basis,Initial Reported End Date,Current Obligated Amount,Total Outlays,Award or Action Description,Primary Detection Method,Detection Evidence,Recipient Business Categories,USAspending URL,Claimed By,DOGE Claimed Status,DOGE Claimed Savings,DOGE Claim Date
DOGE,FL-07,"The Performance Knowledge Group, LLC",80KSC024F0045,P00002,,,2024-07-11,M,OTHER ADMINISTRATIVE ACTION,2025-04-22,,,,,2024-07-01,2025-02-14,period_of_performance,2025-06-30,38535.00,38535.00,"Status: Expired. Reported savings: $0. DOGE Action Date: 2/18/2025. Non-personal services contract to provide strategic management support, professional/team coaching, advanced planning, integration, and implementation to NASA kennedy space center (KSC).",external_claim,Expired,"category_business, partnership_or_limited_liability_partnership, small_business, special_designations, us_owned_business, woman_owned_business, women_owned_small_business",https://www.usaspending.gov/award/CONT_AWD_80KSC024F0045_8000_80KSC021A0007_8000/,DOGE,Expired,0.0,2/18/2025
NASA Procurement Data View,CO-03,The Pinhead Institute Inc,80NSSC19K0748,P00006,A,NEW,2019-07-02,B,CONTINUATION,2025-05-14,,,,,2019-05-20,2025-05-09,period_of_performance,2022-05-19,114321.00,0.00,TERMINATION FOR CONVENIENCE AGREEMENT - AN ANALYSIS OF LADEE UVS DATA FOR METALLIC SPECIES - SUPPORT FOR SMD DIRECTORATE,description_keyword,,"category_business, corporate_entity_tax_exempt, nonprofit",https://www.usaspending.gov/award/ASST_NON_80NSSC19K0748_080/,,,,
USAspending Terminations,CO-02,The Regents of the University of Colorado,80GSFC22CA012,P00009,,,2022-08-19,F,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2026-02-12,P00009,2026-02-12,,,2022-08-19,2026-01-08,period_of_performance,2028-10-31,1724514.55,1724514.55,INTERDISCIPLINARY SCIENTIST SUPPORT FOR THE GEOSPACE DYNAMICS CONSTELLATION (GDC) PROGRAM.,termination_action_code,Terminate-for-convenience action P00009 on 2026-02-12,"educational_institution, government, higher_education, national_government, private_institution_of_higher_education, public_institution_of_higher_education, regional_and_state_government",https://www.usaspending.gov/award/CONT_AWD_80GSFC22CA012_8000_-NONE-_-NONE-/,,,,
DOGE,NY-13,The Trustees of Columbia University in the City of New York,80ARC023CA004,P00004,,,2022-11-01,F,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2025-03-21,P00004,2025-03-21,,,2022-11-01,2025-03-07,period_of_performance,2026-10-31,2000000.00,1208343.00,Status: TERMINATED. Reported savings: $0. DOGE Action Date: 3/10/2025. Contract for research and development work to extended longevity of 3d tissues and microph,external_claim,TERMINATED,"category_business, corporate_entity_tax_exempt, educational_institution, higher_education, nonprofit, private_institution_of_higher_education",https://www.usaspending.gov/award/CONT_AWD_80ARC023CA004_8000_-NONE-_-NONE-/,DOGE,TERMINATED,0.0,3/10/2025
USAspending Terminations,NY-13,The Trustees of Columbia University in the City of New York,80NSSC24M0209,P00005,A,NEW,2024-09-27,B,CONTINUATION,2026-07-28,,,P00002,2025-07-21,2024-09-15,2027-09-30,period_of_performance,2026-09-30,399998.00,64588.54,SINGLE-SOURCE  ICME OPTIMIZATION OF ADVANCED COMPOSITE COMPONENTS OF THE AURORA D8 AIRCRAFT: VERIFICATION,obligation_clawback,"Pure-clawback deobligation P00002 on 2025-07-21 (35% of $618,813)","category_business, corporate_entity_tax_exempt, educational_institution, higher_education, nonprofit, private_institution_of_higher_education",https://www.usaspending.gov/award/ASST_NON_80NSSC24M0209_080/,,,,
DOGE,NY-13,The Trustees of Columbia University in the City of New York,80GSFC23CA001,P00013,,,2023-07-26,F,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2026-07-30,P00013,2026-07-30,,,2023-08-01,2025-07-31,period_of_performance,2024-07-31,8821159.89,8065973.90,"Status: TERMINATED. Reported savings: $19,404,348.00. DOGE Action Date: 3/10/2025. Sedac facilitates the analysis and portrayal of the human dimensions of global change need",external_claim,TERMINATED,"category_business, corporate_entity_tax_exempt, educational_institution, higher_education, nonprofit, private_institution_of_higher_education",https://www.usaspending.gov/award/CONT_AWD_80GSFC23CA001_8000_-NONE-_-NONE-/,DOGE,TERMINATED,19404348.0,3/10/2025
NASA Procurement Data View,NJ-12,The Trustees of Princeton University,80NSSC25K7437,P00002,A,NEW,2025-02-07,B,CONTINUATION,2025-12-10,,,,,2025-01-01,2027-12-31,period_of_performance,2027-12-31,238675.00,69859.69,"RESCINDING STOP WORK NOTICE. EXECUTE A BALANCED SCIENCE PROGRAM BASED ON DISCIPLINE-SPECIFIC GUIDANCE FROM THE NATIONAL ACADEMIES OF SCIENCES, ENGINEERING, AND MEDICINE, ADMINISTRATION PRIORITIES, AND DIRECTION FROM CONGRESS.   PARTICIPATE AS A KEY PARTNER AND ENABLER IN THE AGENCY S EXPLORATION INITIATIVE, FOCUSING ON SCIENTIFIC RESEARCH OF, ON, AND FROM THE MOON, LUNAR ORBIT, MARS, AND BEYOND.   ADVANCE DISCOVERY IN EMERGING FIELDS BY IDENTIFYING AND EXPLOITING CROSS-DISCIPLINARY OPPORTUNITIES BETWEEN TRADITIONAL SCIENCE DISCIPLINES   DEVELOP A DIRECTORATE-WIDE, TARGET-USER FOCUSED APPROACH TO APPLIED PROGRAMS, INCLUDING EARTH SCIENCE APPLICATIONS, SPACE WEATHER, PLANETARY DEFENSE, AND SPACE SITUATIONAL AWARENESS",description_keyword,,"category_business, corporate_entity_tax_exempt, educational_institution, higher_education, nonprofit, private_institution_of_higher_education",https://www.usaspending.gov/award/ASST_NON_80NSSC25K7437_080/,,,,
USAspending Terminations,FL-10,The University of Central Florida Board of Trustees,80NSSC25K7548,P00001,A,NEW,2025-05-27,D,ADJUSTMENT TO COMPLETED PROJECT,2026-03-03,,,P00001,2026-03-03,2025-01-15,2028-01-14,period_of_performance,2028-01-14,0.00,0.00,24-SSW24-0007 APOLLO SAMPLES AS A WINDOW TO CHARACTERIZING REGOLITHS THROUGHOUT THE SOLAR SYSTEM WITH MIR SPECTROSCOPY,obligation_clawback,"Pure-clawback deobligation P00001 on 2026-03-03 (100% of $170,515)","category_business, corporate_entity_tax_exempt, educational_institution, higher_education, nonprofit, other_than_small_business, public_institution_of_higher_education, special_designations, us_owned_business",https://www.usaspending.gov/award/ASST_NON_80NSSC25K7548_080/,,,,
DOGE,TX-15,The University of Texas Rio Grande Valley,80NSSC22K1681,P00005,A,NEW,2022-09-07,D,ADJUSTMENT TO COMPLETED PROJECT,2025-09-10,,,P00005,2025-09-10,2022-09-01,2025-03-21,period_of_performance,2024-08-31,220220.64,220220.64,"DOGE Action Date: 3/21/2025. Reported savings: $0.  21-eej21-0061, integration of satellite data on air pollution with socioeconomic indicators to assess the impacts of agricultural burning on local communities in the lower rio grande valley of south texas. - termination for convenience - earth science applications: equity and environmental justice support for smd/esd ",external_claim,,"educational_institution, government, higher_education, minority_serving_institution_of_higher_education, national_government, public_institution_of_higher_education, regional_and_state_government",https://www.usaspending.gov/award/ASST_NON_80NSSC22K1681_080/,DOGE,,0.0,3/21/2025
USAspending Terminations,TX-16,The University of Texas at El Paso,80NSSC25K7164,P00003,A,NEW,2024-11-15,B,CONTINUATION,2025-12-30,,,P00001,2025-02-21,2025-01-01,2026-12-31,period_of_performance,2025-12-31,119043.00,100937.76,FROM DUST TO PLANETESIMALS: GAS-PARTICLE INTERACTIONS IN BINARY SYSTEMS,obligation_clawback,"Pure-clawback deobligation P00001 on 2025-02-21 (40% of $199,043)","educational_institution, government, higher_education, local_government, minority_serving_institution_of_higher_education, national_government, public_institution_of_higher_education",https://www.usaspending.gov/award/ASST_NON_80NSSC25K7164_080/,,,,
DOGE,VA-11,"Three Wire Systems, LLC",80NSSC24FA558,P00001,,,2024-05-09,F,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2025-04-16,P00001,2025-04-16,,,2024-04-01,2025-04-16,period_of_performance,2025-06-30,17400.00,17400.00,Status: TERMINATED. Reported savings: $0. DOGE Action Date: 5/6/2025. Stor- one software renewal,external_claim,TERMINATED,"category_business, corporate_entity_not_tax_exempt, limited_liability_corporation, service_disabled_veteran_owned_business, small_business, special_designations, us_owned_business, veteran_owned_business",https://www.usaspending.gov/award/CONT_AWD_80NSSC24FA558_8000_NNG15SD25B_8000/,DOGE,TERMINATED,0.0,5/6/2025
NASA Procurement Data View,MS-04,Trilogy Medical Resources LLC,80SSC021F0001,P00004,,,2020-10-20,M,OTHER ADMINISTRATIVE ACTION,2025-04-08,,,,,2020-10-20,2025-04-08,period_of_performance,2021-06-30,32600.00,32600.00,STOP WORK NOTICE ISSUED WITH NOTIFICATION OF INTENT TO TERMINATE FOR CONVENIENCE - PROVIDE COVID-19 RAPID TESTING FOR STENNIS SPACE CENTER.,description_keyword,,"category_business, self_certified_small_disadvanted_business, small_business, sole_proprietorship, special_designations, subchapter_s_corporation, us_owned_business",https://www.usaspending.gov/award/CONT_AWD_80SSC021F0001_8000_80SSC021A0001_8000/,,,,
DOGE,MA-07,Trustees of Tufts College,80NSSC24K1232,P00002,A,NEW,2024-07-23,D,ADJUSTMENT TO COMPLETED PROJECT,2025-08-12,,,P00002,2025-08-12,2024-07-15,2025-03-21,period_of_performance,2028-07-14,169287.92,169287.92,"DOGE Action Date: 3/21/2025. Reported savings: $0.  environmental justice & public health: climate, land, & (HEALTH) outcome of dengue fever (CLOUD) ",external_claim,,"category_business, corporate_entity_tax_exempt, educational_institution, higher_education, nonprofit, private_institution_of_higher_education",https://www.usaspending.gov/award/ASST_NON_80NSSC24K1232_080/,DOGE,,0.0,3/21/2025
DOGE,MA-07,Trustees of Tufts College,80NSSC25K7031,P00003,A,NEW,2024-10-31,D,ADJUSTMENT TO COMPLETED PROJECT,2026-05-11,,,P00003,2026-05-11,2024-10-04,2025-06-06,period_of_performance,2027-10-03,149834.25,149834.25,"Status: TERMINATED. Reported savings: $604,288.00. DOGE Action Date: 9/18/2025. Basic research: integrating earth observations toward advancing equitable resilience to geohazards in a changing climate",external_claim,TERMINATED,"category_business, corporate_entity_tax_exempt, educational_institution, higher_education, nonprofit, private_institution_of_higher_education",https://www.usaspending.gov/award/ASST_NON_80NSSC25K7031_080/,DOGE,TERMINATED,604288.0,9/18/2025
DOGE,,Unibap Space Solutions Ab (PUBL),80NSSC24PA210,P00002,,,2023-11-29,F,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2025-03-28,P00002,2025-03-28,,,2023-11-30,2025-03-28,period_of_performance,2024-11-29,70000.00,70000.00,Status: TERMINATED. Reported savings: $0. DOGE Action Date: 4/10/2025. Unibap - ose-sat in-space autonomy testbed,external_claim,TERMINATED,"category_business, corporate_entity_tax_exempt, foreign_owned, manufacturer_of_goods, other_than_small_business, special_designations",https://www.usaspending.gov/award/CONT_AWD_80NSSC24PA210_8000_-NONE-_-NONE-/,DOGE,TERMINATED,0.0,4/10/2025
USAspending Terminations,FL-16,"Unipak Aviation, LLC",80GRC022AA021,P00003,,,2022-08-18,F,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2025-04-15,P00003,2025-04-15,,,2022-08-22,2025-04-15,idv_last_date_to_order,2027-05-31,0.00,,"TERMINATION FOR CONVENIENCE - NASA GLENN RESEARCH CENTER BLANKET PURCHASE AGREEMENT. EACH ORDER MAY INCLUDE, BUT IS NOT LIMITED TO, MACHINING, FABRICATION, WELDING/METAL JOINING, INSTRUMENTATION, INSPECTION AND NON-DESTRUCTIVE TESTING (NDT).",termination_action_code,Terminate-for-convenience action P00003 on 2025-04-15,"category_business, manufacturer_of_goods, partnership_or_limited_liability_partnership, self_certified_small_disadvanted_business, small_business, special_designations, us_owned_business",https://www.usaspending.gov/award/CONT_IDV_80GRC022AA021_8000/,,,,
DOGE,MD-03,Universities Space Research Association,80NSSC21M0003,P00011,A,NEW,2020-11-16,D,ADJUSTMENT TO COMPLETED PROJECT,2025-08-27,,,P00011,2025-08-27,2021-01-01,,,2025-12-31,2767668.23,2767668.23,Status: TERMINATED. Reported savings: $0. DOGE Action Date: 3/31/2025. Planetary exploration  - science activation program integration/ science engagement & partnerships division for support for science mission directorate (SMD),external_claim,TERMINATED,"category_business, corporate_entity_tax_exempt, nonprofit, other_than_small_business, special_designations, us_owned_business",https://www.usaspending.gov/award/ASST_NON_80NSSC21M0003_080/,DOGE,TERMINATED,0.0,3/31/2025
USAspending Terminations,DC-98,Universities Space Research Association,80NSSC24M0217,P00003,A,NEW,2024-09-19,D,ADJUSTMENT TO COMPLETED PROJECT,2026-04-08,,,P00003,2026-04-08,2024-08-01,2025-04-11,period_of_performance,2025-04-30,747.63,747.63,"NNH22ZDA001N-TWSC ""THE PROFESSIONAL ADVANCEMENT WORKSHOP SERIES (PAWS) CAPSTONE EVENT:.CREATING THE RISING TIDE.",obligation_clawback,"Pure-clawback deobligation P00001 on 2025-02-06 (97% of $26,692)","category_business, corporate_entity_tax_exempt, nonprofit, other_than_small_business, special_designations, us_owned_business",https://www.usaspending.gov/award/ASST_NON_80NSSC24M0217_080/,,,,
DOGE,CO-02,University Corporation for Atmospheric Research,80NSSC25PA068,P00003,,,2024-10-16,F,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2025-04-08,P00003,2025-04-08,,,2024-10-16,2025-04-08,period_of_performance,2025-12-31,14000.00,0.00,Status: TERMINATED. Reported savings: $0. DOGE Action Date: 4/11/2025. Other scientific and technical consulting services ot dynamical neutral atmosphere-ionosphere coupling-x (DYNAMIC-X)  phase a study virginia polytechnic institute and state university (VT)/work on the development of data assimilation system with the hao/ncar whole atmosphere community climate model.,external_claim,TERMINATED,"category_business, corporate_entity_tax_exempt, nonprofit, other_than_small_business, special_designations, us_owned_business",https://www.usaspending.gov/award/CONT_AWD_80NSSC25PA068_8000_-NONE-_-NONE-/,DOGE,TERMINATED,0.0,4/11/2025
DOGE,AK-00,University of Alaska Fairbanks,80NSSC24K1264,P00003,A,NEW,2024-07-11,D,ADJUSTMENT TO COMPLETED PROJECT,2026-03-11,,,P00003,2026-03-11,2024-06-12,2025-03-21,period_of_performance,2025-06-11,4718.63,4718.63,DOGE Action Date: 3/21/2025. Reported savings: $0.  bringing edia to the planetary sciences community: a two-day ag-style meeting of the cross-ag edia working group - termination for convenience agreement - bringing edia to the planetary sciences community: a two-day ag-style meeting of the cross-ag edia working group ,external_claim,,"educational_institution, government, higher_education, minority_serving_institution_of_higher_education, national_government, public_institution_of_higher_education, regional_and_state_government",https://www.usaspending.gov/award/ASST_NON_80NSSC24K1264_080/,DOGE,,0.0,3/21/2025
USAspending Terminations,AZ-07,University of Arizona,80NSSC23K1211,P00002,A,NEW,2023-07-31,D,ADJUSTMENT TO COMPLETED PROJECT,2025-02-11,,,P00002,2025-02-11,2023-08-15,2025-02-12,period_of_performance,2027-08-14,65437.55,65437.55,TOWARD UNIVERSAL QUANTUM OPTIMAL PHOTONIC PROCESSING USING QUANTUM COMPUTATION,obligation_clawback,"Pure-clawback deobligation P00002 on 2025-02-11 (59% of $159,848)","category_business, educational_institution, government, higher_education, minority_serving_institution_of_higher_education, national_government, other_than_small_business, public_institution_of_higher_education, regional_and_state_government",https://www.usaspending.gov/award/ASST_NON_80NSSC23K1211_080/,,,,
DOGE,AR-04,University of Arkansas System,80NSSC24K0113,P00004,A,NEW,2023-12-06,D,ADJUSTMENT TO COMPLETED PROJECT,2026-05-12,,,P00004,2026-05-12,2023-10-18,2025-03-21,period_of_performance,2028-10-17,0.00,0.00,"DOGE Action Date: 3/21/2025. Reported savings: $224,997.00. Here to observe student engagement program: university of arkansas at pine bluff",external_claim,,"educational_institution, government, higher_education, minority_serving_institution_of_higher_education, national_government, public_institution_of_higher_education, regional_and_state_government",https://www.usaspending.gov/award/ASST_NON_80NSSC24K0113_080/,DOGE,,224997.0,3/21/2025
USAspending Terminations,CA-36,"University of California, Los Angeles",80MSFC24CA008,P00011,,,2024-09-10,M,OTHER ADMINISTRATIVE ACTION,2026-06-25,,,,,2024-09-10,2027-10-31,period_of_performance,2027-10-31,16057000.00,6017891.59,"STOP WORK NOTICE ISSUED WITH NOTIFICATION OF INTENT TO DESCOPE - THE GOAL OF NEO SURVEYOR IS TO FIND, TRACK, AND CHARACTERIZE THE ASTEROIDS AND COMETS THAT COULD POTENTIALLY THREATEN THE EARTH.",termination_language,Termination-language transaction P00003 on 2025-01-23,"educational_institution, government, higher_education, national_government, public_institution_of_higher_education, regional_and_state_government",https://www.usaspending.gov/award/CONT_AWD_80MSFC24CA008_8000_-NONE-_-NONE-/,,,,
NASA Procurement Data View,HI-01,University of Hawaii,80NSSC24K1913,P00003,A,NEW,2024-09-06,B,CONTINUATION,2025-09-09,,,,,2024-09-05,2027-09-04,period_of_performance,2027-09-04,235960.00,178683.77,RESCIND - STOP WORK NOTICE ISSUED WITH NOTIFICATION OF INTENT TO TERMINATE - 21-JPSP21-0018 MICROWAVE MEASUREMENTS OF THE GALILEAN SATELLITES,description_keyword,,"educational_institution, government, higher_education, minority_serving_institution_of_higher_education, national_government, public_institution_of_higher_education, regional_and_state_government",https://www.usaspending.gov/award/ASST_NON_80NSSC24K1913_080/,,,,
USAspending Terminations,IL-13,University of Illinois,80NSSC23K0833,P00001,A,NEW,2023-05-17,D,ADJUSTMENT TO COMPLETED PROJECT,2025-05-06,,,P00001,2025-05-06,2023-06-16,2026-06-15,period_of_performance,2026-06-15,74152.54,74152.54,22-TOPST22-0023 BRINGING TOGETHER OPEN SCIENCE AND RESEARCH SOFTWARE,obligation_clawback,"Pure-clawback deobligation P00001 on 2025-05-06 (75% of $299,081)","educational_institution, government, higher_education, national_government, public_institution_of_higher_education, regional_and_state_government",https://www.usaspending.gov/award/ASST_NON_80NSSC23K0833_080/,,,,
USAspending Terminations,MD-07,University of Maryland Baltimore County,80GSFC23CA032,P00012,,,2023-02-23,F,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2026-07-30,P00012,2026-07-30,,,2023-02-23,2025-09-30,period_of_performance,,885525.56,885525.56,GEOSPACE DYNAMICS CONSTELLATION (GDC) MODULAR SPECTROMETER FOR  ATMOSPHERE AND IONOSPHERE CHARACTERIZATION (MOSAIC) INSTRUMENT  INVESTIGATION,termination_action_code,Terminate-for-convenience action P00012 on 2026-07-30,"educational_institution, government, higher_education, national_government, public_institution_of_higher_education, regional_and_state_government",https://www.usaspending.gov/award/CONT_AWD_80GSFC23CA032_8000_-NONE-_-NONE-/,,,,
USAspending Terminations,MD-04,"University of Maryland, College Park",80NSSC24K0157,P00002,A,NEW,2023-11-09,D,ADJUSTMENT TO COMPLETED PROJECT,2026-04-14,,,P00002,2026-04-14,2024-01-01,2026-12-31,period_of_performance,2026-12-31,124502.57,124502.57,23-XRP23_2-0090 STATISTICAL COMPARATIVE PLANETOLOGY FOR LOW-MASS ERA OF JWST,obligation_clawback,"Pure-clawback deobligation P00002 on 2026-04-14 (76% of $517,171)","educational_institution, government, higher_education, national_government, public_institution_of_higher_education, regional_and_state_government",https://www.usaspending.gov/award/ASST_NON_80NSSC24K0157_080/,,,,
DOGE,OK-04,University of Oklahoma,80NSSC25K7034,P00002,A,NEW,2024-10-28,D,ADJUSTMENT TO COMPLETED PROJECT,2025-08-15,,,P00002,2025-08-15,2024-10-02,2025-03-21,period_of_performance,2027-10-01,34613.83,34613.83,DOGE Action Date: 3/21/2025. Reported savings: $0.  building co-design and co-learning digital twins: supporting indigenous communities against tribal lands flooding ,external_claim,,"educational_institution, government, higher_education, national_government, public_institution_of_higher_education, regional_and_state_government",https://www.usaspending.gov/award/ASST_NON_80NSSC25K7034_080/,DOGE,,0.0,3/21/2025
DOGE,VA-07,University of Richmond,80NSSC25K7036,P00003,A,NEW,2024-11-19,D,ADJUSTMENT TO COMPLETED PROJECT,2026-04-30,,,P00003,2026-04-30,2024-10-04,2025-05-10,period_of_performance,2027-10-03,0.00,0.00,"DOGE Action Date: 5/14/2025. Reported savings: $0.  space exploration,  equity and environmental justice regarding the changing indigenous landscapes of virginia ",external_claim,,"category_business, corporate_entity_tax_exempt, educational_institution, higher_education, nonprofit, private_institution_of_higher_education",https://www.usaspending.gov/award/ASST_NON_80NSSC25K7036_080/,DOGE,,0.0,5/14/2025
USAspending Terminations,CA-37,University of Southern California,80NSSC23K1228,P00002,A,NEW,2023-08-03,D,ADJUSTMENT TO COMPLETED PROJECT,2025-05-06,,,P00002,2025-05-06,2023-08-01,2027-07-31,period_of_performance,2027-07-31,65662.76,65662.76,22-NSTGRO23-0391 ROBUST ONLINE SAFETY ASSURANCES FOR AUTONOMOUS PLANETARY MOBILITY IN UNCERTAIN AND VARIABLE TERRAINS,obligation_clawback,"Pure-clawback deobligation P00002 on 2025-05-06 (55% of $144,863)","category_business, corporate_entity_tax_exempt, educational_institution, higher_education, nonprofit, private_institution_of_higher_education",https://www.usaspending.gov/award/ASST_NON_80NSSC23K1228_080/,,,,
DOGE,TX-18,University of Texas Health Science Center at Houston,80NSSC24K0913,P00003,A,NEW,2024-06-06,D,ADJUSTMENT TO COMPLETED PROJECT,2026-04-30,,,P00003,2026-04-30,2024-06-06,2025-05-10,period_of_performance,2025-06-05,40652.80,40652.80,DOGE Action Date: 5/14/2025. Reported savings: $0. Climate & sustainability,external_claim,,"educational_institution, government, higher_education, national_government, public_institution_of_higher_education, regional_and_state_government",https://www.usaspending.gov/award/ASST_NON_80NSSC24K0913_080/,DOGE,,0.0,5/14/2025
DOGE,TX-18,University of Texas Health Science Center at Houston,80NSSC25K7030,P00003,A,NEW,2024-12-16,D,ADJUSTMENT TO COMPLETED PROJECT,2026-04-30,,,P00003,2026-04-30,2024-10-04,2025-05-10,period_of_performance,2027-10-03,69975.13,69975.13,"DOGE Action Date: 5/14/2025. Reported savings: $0.  health effects of light pollution, chicago's initiative for environmental justice and light pollution outreach ",external_claim,,"educational_institution, government, higher_education, national_government, public_institution_of_higher_education, regional_and_state_government",https://www.usaspending.gov/award/ASST_NON_80NSSC25K7030_080/,DOGE,,0.0,5/14/2025
USAspending Terminations,TX-25,University of Texas at Arlington,80GSFC22CA011,P00009,,,2022-08-25,F,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2026-01-30,P00009,2026-01-30,,,2022-08-25,2026-01-31,period_of_performance,2028-10-31,1533152.00,1448468.00,INTERDISCIPLINARY SCIENTIST SUPPORT FOR THE GEOSPACE DYNAMICS CONSTELLATION (GDC) PROGRAM.,termination_action_code,Terminate-for-convenience action P00009 on 2026-01-30,"educational_institution, government, higher_education, minority_serving_institution_of_higher_education, national_government, public_institution_of_higher_education, regional_and_state_government",https://www.usaspending.gov/award/CONT_AWD_80GSFC22CA011_8000_-NONE-_-NONE-/,,,,
DOGE,TX-25,University of Texas at Austin,80NSSC22K1675,P00003,A,NEW,2022-09-01,B,CONTINUATION,2025-03-21,,,,,2022-09-01,2025-03-21,period_of_performance,2024-08-31,249842.00,196892.73,"DOGE Action Date: 3/21/2025. Reported savings: $0.  eo14042 atx ca3tch up: climate atlas for accountability and advocacy strategies through co-production with historically underserved community partners in austin, tx - termination for convenience - earth science applications: equity and environmental justice support for smd/esd mission directorate ",external_claim,,"educational_institution, higher_education, minority_owned_business, nonprofit, other_minority_owned_business, public_institution_of_higher_education",https://www.usaspending.gov/award/ASST_NON_80NSSC22K1675_080/,DOGE,,0.0,3/21/2025
DOGE,TX-25,University of Texas at Austin,80NSSC24K1612,P00002,A,NEW,2024-09-05,D,ADJUSTMENT TO COMPLETED PROJECT,2026-03-11,,,P00002,2026-03-11,2024-08-16,2025-03-21,period_of_performance,2027-08-15,31233.60,31233.60,DOGE Action Date: 3/21/2025. Reported savings: $0.  23-earth23-0422 climate harmony: studying and informing urban climate efforts in central texas through the.development of a regional climate atlas ,external_claim,,"educational_institution, higher_education, minority_owned_business, nonprofit, other_minority_owned_business, public_institution_of_higher_education",https://www.usaspending.gov/award/ASST_NON_80NSSC24K1612_080/,DOGE,,0.0,3/21/2025
DOGE,VA-09,Virginia Polytechnic Institute & State University,80NSSC24K0176,P00004,A,NEW,2023-11-22,D,ADJUSTMENT TO COMPLETED PROJECT,2025-08-12,,,P00004,2025-08-12,2023-10-25,2025-03-21,period_of_performance,2026-10-24,390648.69,390648.69,"DOGE Action Date: 3/21/2025. Reported savings: $0.  democratizing data to support adaptation decision making in the north-atlantic coastal plain: land subsidence, compound flooding hazard and water quality - interdisciplinary research in earth science support for science mission directorate (SMD/ESD) ",external_claim,,"category_business, educational_institution, government, higher_education, national_government, other_than_small_business, public_institution_of_higher_education, regional_and_state_government",https://www.usaspending.gov/award/ASST_NON_80NSSC24K0176_080/,DOGE,,0.0,3/21/2025
DOGE,VA-04,Virginia State University,80NSSC24K0115,P00003,A,NEW,2023-11-29,D,ADJUSTMENT TO COMPLETED PROJECT,2025-09-25,,,P00003,2025-09-25,2023-10-18,2025-03-21,period_of_performance,2028-10-17,0.00,0.00,"DOGE Action Date: 3/21/2025. Reported savings: $224,850.00. Here to observe student engagement program: virginia state university",external_claim,,"educational_institution, government, higher_education, minority_serving_institution_of_higher_education, national_government, public_institution_of_higher_education, regional_and_state_government",https://www.usaspending.gov/award/ASST_NON_80NSSC24K0115_080/,DOGE,,224850.0,3/21/2025
USAspending Terminations,VA-04,Virginia State University,80NSSC25K0134,P00002,A,NEW,2025-08-05,B,CONTINUATION,2025-09-30,,,P00001,2025-09-10,2025-06-16,2027-06-15,period_of_performance,2027-06-15,239988.00,0.00,DEVELOPMENT OF LPBF-MANUFACTURED WAVEGUIDES FOR MILLIMETER-WAVE TELESCOPE APPLICATIONS: A FEASIBILITY STUDY,obligation_clawback,"Pure-clawback deobligation P00001 on 2025-09-10 (33% of $358,793)","educational_institution, government, higher_education, minority_serving_institution_of_higher_education, national_government, public_institution_of_higher_education, regional_and_state_government",https://www.usaspending.gov/award/ASST_NON_80NSSC25K0134_080/,,,,
USAspending Terminations,IL-05,Volaire Energy LLC,80NSSC25PA844,P00001,,,2025-04-04,F,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2026-02-20,P00001,2026-02-20,,,2025-04-03,2025-06-12,period_of_performance,2025-06-12,12000.00,0.00,GEER MASS FLOW METER,termination_action_code,Terminate-for-convenience action P00001 on 2026-02-20,"black_american_owned_business, category_business, corporate_entity_not_tax_exempt, dot_certified_disadvantaged_business_enterprise, economically_disadvantaged_women_owned_small_business, limited_liability_corporation, minority_owned_business, self_certified_small_disadvanted_business, small_business, special_designations, us_owned_business, woman_owned_business, women_owned_small_business",https://www.usaspending.gov/award/CONT_AWD_80NSSC25PA844_8000_-NONE-_-NONE-/,,,,
USAspending Terminations,MA-09,Woods Hole Oceanographic Institution,80NSSC23K1391,P00003,A,NEW,2023-08-29,D,ADJUSTMENT TO COMPLETED PROJECT,2026-04-19,,,P00003,2026-04-19,2023-09-01,2027-05-31,period_of_performance,2026-05-31,99999.00,34531.42,PI-MAP: PLANETARY INSTRUMENT FOR MULTIMODAL AUTONOMOUS PERCEPTION,obligation_clawback,"Pure-clawback deobligation P00003 on 2026-04-19 (33% of $149,998)","category_business, corporate_entity_tax_exempt, nonprofit",https://www.usaspending.gov/award/ASST_NON_80NSSC23K1391_080/,,,,
